洗衣服,适合洗衣服,不适合洗衣服,
裤袜长袖,适合穿裤袜长袖,不适合穿裤袜长袖,
帽子,适合戴帽子,不适合戴帽子,
毛袜,适合穿毛袜,不适合穿毛袜,
比基尼,适合穿比基尼,不适合穿比基尼,
呢大衣,适合穿呢大衣,不适合穿呢大衣,
半袖,适合穿半袖,不适合穿半袖,
礼服,适合穿礼服,不适合穿礼服,
羊绒,适合穿羊绒,不适合穿羊绒,
棉鞋,适合穿棉鞋,不适合穿棉鞋,
棉裤,适合穿棉裤,不适合穿棉裤,
棉毛裤,适合穿棉毛裤,不适合穿棉毛裤,
雪地靴,适合穿雪地靴,不适合穿雪地靴,
紫外线,需要防紫外线,不需要防紫外线,
毛线衣,适合穿毛线衣,不适合穿毛线衣,
保暖内衣,适合穿保暖内衣,不适合穿保暖内衣,
秋衣,适合穿秋衣,不适合穿秋衣,
手套,适合戴手套,不适合戴手套,
厚外套,适合穿厚外套,不适合穿厚外套,
厚裤子,适合穿厚裤子,不适合穿厚裤子,
薄外套,适合穿薄外套,不适合穿薄外套,
棉毛衫,适合穿棉毛衫,不适合穿棉毛衫,
皮鞋,适合穿皮鞋,不适合穿皮鞋,
球鞋,适合穿球鞋,不适合穿球鞋,
短风衣,适合穿短风衣,不适合穿短风衣,
蝙蝠衫,适合穿蝙蝠衫,不适合穿蝙蝠衫,
t恤,适合穿t恤,不适合穿t恤,
Polo衫,适合穿Polo衫,不适合穿Polo衫,
polo衫,适合穿polo衫,不适合穿polo衫,
乌毡帽,适合戴乌毡帽,适合戴乌毡帽,
斗笠,适合戴斗笠,适合戴斗笠,
蓑衣,适合穿蓑衣,适合穿蓑衣,
草帽,适合戴草帽,适合戴草帽,
口罩,适合戴口罩,适合戴口罩,
运动服,适合穿运动服,适合穿运动服,
运动衫,适合穿运动衫,适合穿运动衫,
运动衣,适合穿运动衣,适合穿运动衣,
运动裤,适合穿运动裤,适合穿运动裤,
内裤,适合穿内裤,适合穿内裤,
西服,适合穿西服,适合穿西服,
西裤,适合穿西裤,适合穿西裤,
上衣,适合穿上衣,适合穿上衣,
西装,适合穿西装,适合穿西装,
裤子,适合穿裤子,适合穿裤子,
鞋子,适合穿鞋子,适合穿鞋子,
衣服,适合穿衣服,适合穿衣服,
